	mass_A
t	x	y
1.292000e1	8.563518e-3	4.225204e-4
1.296000e1	-2.865424e-3	4.131914e-4
1.300000e1	-1.468869e-2	1.261085e-3
1.304000e1	-2.609426e-2	2.166422e-3
1.308000e1	-3.702847e-2	3.910416e-3
1.312000e1	-3.702862e-2	3.904592e-3
1.316000e1	-4.714261e-2	4.914544e-3
1.320000e1	-5.595156e-2	5.756173e-3
1.324000e1	-6.381518e-2	6.641390e-3
1.328000e1	-6.996901e-2	7.521131e-3
1.332000e1	-7.478103e-2	8.363018e-3
1.336000e1	-7.477220e-2	8.381340e-3
1.340000e1	-7.743105e-2	9.181327e-3
1.344000e1	-7.831311e-2	9.208310e-3
1.348000e1	-7.740199e-2	8.857756e-3
1.352000e1	-7.432951e-2	8.749183e-3
1.356000e1	-6.947118e-2	7.907257e-3
1.360000e1	-6.945662e-2	7.912033e-3
1.364000e1	-6.298174e-2	6.998242e-3
1.368000e1	-5.548059e-2	6.118336e-3
1.372000e1	-4.628276e-2	5.236701e-3
1.376000e1	-3.620208e-2	3.523078e-3
1.380000e1	-2.564553e-2	1.783562e-3
1.384000e1	-2.564136e-2	1.790927e-3
1.388000e1	-1.424902e-2	8.656888e-4
1.392000e1	-2.849814e-3	-1.322857e-5
1.396000e1	8.553685e-3	-1.855316e-5
1.400000e1	1.993462e-2	3.148508e-5
1.404000e1	3.051673e-2	9.107973e-4
1.408000e1	3.052283e-2	9.209311e-4
1.412000e1	4.054630e-2	1.795957e-3
1.416000e1	4.892693e-2	1.792275e-3
1.420000e1	5.635420e-2	2.617908e-3
1.424000e1	6.206841e-2	3.493898e-3
1.428000e1	6.689437e-2	4.375987e-3
1.432000e1	6.689446e-2	4.372177e-3
1.436000e1	6.908882e-2	4.391815e-3
1.440000e1	6.996994e-2	4.396361e-3
1.444000e1	6.909120e-2	4.384943e-3
1.448000e1	6.647800e-2	3.972571e-3
1.452000e1	6.247437e-2	3.860285e-3
1.456000e1	6.247305e-2	3.845326e-3
1.460000e1	5.674461e-2	3.030270e-3
1.464000e1	4.933252e-2	2.207012e-3
1.468000e1	4.058411e-2	2.168994e-3
1.472000e1	3.050676e-2	1.315287e-3
1.476000e1	1.994746e-2	4.606042e-4
1.480000e1	1.994544e-2	4.682197e-4
1.484000e1	8.580456e-3	4.383157e-4
1.488000e1	-2.417856e-3	4.129761e-4
1.492000e1	-1.379651e-2	1.283791e-3
1.496000e1	-2.473925e-2	2.157686e-3
1.500000e1	-3.526712e-2	3.120179e-3
1.504000e1	-3.525596e-2	3.141374e-3
1.508000e1	-4.496068e-2	4.828684e-3
1.512000e1	-5.372056e-2	5.699403e-3
1.516000e1	-6.119424e-2	6.608469e-3
1.520000e1	-6.734395e-2	7.479239e-3
1.524000e1	-7.171667e-2	7.573416e-3
1.528000e1	-7.170700e-2	7.628809e-3
1.532000e1	-7.435724e-2	8.346156e-3
1.536000e1	-7.523859e-2	8.366525e-3
1.540000e1	-7.435665e-2	8.037624e-3
1.544000e1	-7.171497e-2	7.993355e-3
1.548000e1	-6.687419e-2	7.096690e-3
1.552000e1	-6.686109e-2	7.133683e-3
1.556000e1	-6.081302e-2	6.174838e-3
1.560000e1	-5.370341e-2	5.307775e-3
1.564000e1	-4.497990e-2	4.403689e-3
1.568000e1	-3.530261e-2	2.684138e-3
1.572000e1	-2.520627e-2	1.774807e-3
1.576000e1	-2.520429e-2	1.778001e-3
1.580000e1	-1.427008e-2	8.557756e-4
1.584000e1	-3.293919e-3	-2.130109e-5
1.588000e1	7.670904e-3	-7.584269e-6
1.592000e1	1.822290e-2	2.622921e-5
1.596000e1	2.870072e-2	8.802569e-4
1.600000e1	2.870389e-2	8.917727e-4
1.604000e1	3.797702e-2	1.049433e-3
1.608000e1	4.631045e-2	1.805067e-3
1.612000e1	5.332307e-2	2.624395e-3
1.616000e1	5.900560e-2	3.478359e-3
1.620000e1	6.295684e-2	4.357561e-3
1.624000e1	6.296443e-2	4.346450e-3
1.628000e1	6.557403e-2	4.362904e-3
1.632000e1	6.646091e-2	4.389347e-3
1.636000e1	6.645515e-2	4.391937e-3
1.640000e1	6.340626e-2	3.936462e-3
1.644000e1	5.945377e-2	3.088811e-3
1.648000e1	5.946215e-2	3.079544e-3
1.652000e1	5.415964e-2	2.241106e-3
1.656000e1	4.716246e-2	2.159506e-3
1.660000e1	3.882991e-2	1.345790e-3
1.664000e1	2.961470e-2	1.322697e-3
1.668000e1	1.950942e-2	4.601430e-4
1.672000e1	1.950886e-2	4.669201e-4
1.676000e1	8.574431e-3	4.349888e-4
1.680000e1	-1.961182e-3	-4.316888e-4
1.684000e1	-1.251411e-2	4.317697e-4
1.688000e1	-2.304658e-2	1.335622e-3
1.692000e1	-3.312825e-2	3.064603e-3
1.696000e1	-3.312932e-2	3.064035e-3
1.700000e1	-4.230940e-2	4.009943e-3
