	mass_A
t	x	y
1.392000e1	4.240065e-2	3.870983e-4
1.396000e1	3.699138e-2	-4.191954e-4
1.400000e1	3.038556e-2	-4.401144e-4
1.404000e1	2.263926e-2	-4.245959e-4
1.408000e1	1.437095e-2	-4.774060e-4
1.412000e1	5.509288e-3	-4.434875e-4
1.416000e1	-3.724702e-3	-4.034090e-4
1.420000e1	-1.291749e-2	4.285369e-4
1.424000e1	-2.217241e-2	4.729943e-4
1.428000e1	-3.102471e-2	1.359200e-3
1.432000e1	-3.916060e-2	2.233213e-3
1.436000e1	-4.635058e-2	3.059543e-3
1.440000e1	-5.203692e-2	3.962880e-3
1.444000e1	-5.693497e-2	4.834224e-3
1.448000e1	-6.075381e-2	5.693440e-3
1.452000e1	-6.305770e-2	5.744455e-3
1.456000e1	-6.436565e-2	5.718918e-3
1.460000e1	-6.439466e-2	6.121490e-3
1.464000e1	-6.335510e-2	6.085216e-3
1.468000e1	-6.125282e-2	5.291606e-3
1.472000e1	-5.768872e-2	4.496444e-3
1.476000e1	-5.282947e-2	3.616445e-3
1.480000e1	-4.671518e-2	2.793884e-3
1.484000e1	-3.968991e-2	2.605719e-3
1.488000e1	-3.142434e-2	1.752893e-3
1.492000e1	-2.302474e-2	8.821918e-4
1.496000e1	-1.420460e-2	1.358115e-5
1.500000e1	-4.968011e-3	-7.788701e-5
1.504000e1	4.005453e-3	-1.228055e-4
1.508000e1	1.236655e-2	-2.902760e-4
1.512000e1	2.039855e-2	-1.324760e-4
1.516000e1	2.772371e-2	-1.541433e-4
1.520000e1	3.434558e-2	1.780653e-5
1.524000e1	3.963435e-2	-1.828044e-5
1.528000e1	4.403701e-2	1.611043e-3
1.532000e1	4.753839e-2	1.624643e-3
1.536000e1	4.847650e-2	4.424599e-4
1.540000e1	4.849729e-2	4.386083e-4
1.544000e1	4.762421e-2	2.352014e-5
1.548000e1	4.587005e-2	5.783928e-7
1.552000e1	4.267724e-2	4.159666e-4
1.556000e1	3.805487e-2	4.045651e-4
1.560000e1	3.236720e-2	4.094832e-4
1.564000e1	2.603362e-2	-4.037870e-4
1.568000e1	1.864007e-2	-3.984942e-4
1.572000e1	1.076904e-2	-5.000409e-4
1.576000e1	2.025323e-3	-4.356875e-4
1.580000e1	-6.394049e-3	3.670526e-4
1.584000e1	-1.514111e-2	1.223938e-3
1.588000e1	-2.391246e-2	1.304355e-3
1.592000e1	-3.213743e-2	2.121059e-3
1.596000e1	-3.976258e-2	2.717171e-3
1.600000e1	-4.667736e-2	3.864186e-3
1.604000e1	-5.285723e-2	3.985587e-3
1.608000e1	-5.808019e-2	4.815123e-3
1.612000e1	-6.191534e-2	5.484205e-3
1.616000e1	-6.426139e-2	5.659399e-3
1.620000e1	-6.426472e-2	5.275351e-3
1.624000e1	-6.341258e-2	5.272084e-3
1.628000e1	-6.120171e-2	5.247996e-3
1.632000e1	-5.855234e-2	4.428885e-3
1.636000e1	-5.412039e-2	4.344039e-3
1.640000e1	-4.862291e-2	3.512490e-3
1.644000e1	-4.228817e-2	2.638768e-3
1.648000e1	-3.526687e-2	1.759792e-3
1.652000e1	-2.743390e-2	1.746255e-3
1.656000e1	-1.909081e-2	8.737985e-4
1.660000e1	-1.068469e-2	2.534900e-5
1.664000e1	-2.035085e-3	-4.724939e-5
1.668000e1	6.101958e-3	-7.935663e-4
1.672000e1	1.403826e-2	-7.832225e-4
1.676000e1	2.121628e-2	-5.428851e-5
1.680000e1	2.786408e-2	-4.581302e-5
1.684000e1	3.396144e-2	-8.165431e-4
1.688000e1	3.802390e-2	-7.543196e-4
1.692000e1	4.144878e-2	2.208792e-6
1.696000e1	4.351367e-2	1.101553e-4
1.700000e1	4.472255e-2	6.103847e-5
1.704000e1	4.583056e-2	1.429625e-5
1.708000e1	4.370130e-2	-3.215282e-4
1.712000e1	4.156278e-2	4.039847e-4
1.716000e1	3.837609e-2	-4.159713e-4
1.720000e1	3.378341e-2	-3.479868e-4
1.724000e1	2.807306e-2	-3.276348e-4
1.728000e1	2.158517e-2	-4.127387e-4
1.732000e1	1.438179e-2	-4.582129e-4
